Ranking,Port,Country,Region,Year,Container
1,Shanghai,China,East Asia & Pacific,2004,14557000
1,Shanghai,China,East Asia & Pacific,2005,18084000
1,Shanghai,China,East Asia & Pacific,2006,21710000
1,Shanghai,China,East Asia & Pacific,2007,26150000
1,Shanghai,China,East Asia & Pacific,2008,27980000
1,Shanghai,China,East Asia & Pacific,2009,25002000
1,Shanghai,China,East Asia & Pacific,2010,29069000
1,Shanghai,China,East Asia & Pacific,2011,31700000
1,Shanghai,China,East Asia & Pacific,2012,32529000
1,Shanghai,China,East Asia & Pacific,2013,33617000
1,Shanghai,China,East Asia & Pacific,2014,
1,Shanghai,China,East Asia & Pacific,2015,
2,Singapore,Singapore,East Asia & Pacific,2004,21329000
2,Singapore,Singapore,East Asia & Pacific,2005,23192000
2,Singapore,Singapore,East Asia & Pacific,2006,24792000
2,Singapore,Singapore,East Asia & Pacific,2007,27932000
2,Singapore,Singapore,East Asia & Pacific,2008,29918000
2,Singapore,Singapore,East Asia & Pacific,2009,25866000
2,Singapore,Singapore,East Asia & Pacific,2010,28431000
2,Singapore,Singapore,East Asia & Pacific,2011,29937000
2,Singapore,Singapore,East Asia & Pacific,2012,31649000
2,Singapore,Singapore,East Asia & Pacific,2013,32240000
2,Singapore,Singapore,East Asia & Pacific,2014,
2,Singapore,Singapore,East Asia & Pacific,2015,
3,Shenzhen,China,East Asia & Pacific,2004,13615000
3,Shenzhen,China,East Asia & Pacific,2005,16197000
3,Shenzhen,China,East Asia & Pacific,2006,18469000
3,Shenzhen,China,East Asia & Pacific,2007,21099000
3,Shenzhen,China,East Asia & Pacific,2008,21414000
3,Shenzhen,China,East Asia & Pacific,2009,18250000
3,Shenzhen,China,East Asia & Pacific,2010,22510000
3,Shenzhen,China,East Asia & Pacific,2011,22570000
3,Shenzhen,China,East Asia & Pacific,2012,22940000
3,Shenzhen,China,East Asia & Pacific,2013,23280000
3,Shenzhen,China,East Asia & Pacific,2014,
3,Shenzhen,China,East Asia & Pacific,2015,
4,Hong Kong,China,East Asia & Pacific,2004,21984000
4,Hong Kong,China,East Asia & Pacific,2005,22427000
4,Hong Kong,China,East Asia & Pacific,2006,23539000
4,Hong Kong,China,East Asia & Pacific,2007,23881000
4,Hong Kong,China,East Asia & Pacific,2008,24248000
4,Hong Kong,China,East Asia & Pacific,2009,20983000
4,Hong Kong,China,East Asia & Pacific,2010,23532000
4,Hong Kong,China,East Asia & Pacific,2011,24384000
4,Hong Kong,China,East Asia & Pacific,2012,23117000
4,Hong Kong,China,East Asia & Pacific,2013,22352000
4,Hong Kong,China,East Asia & Pacific,2014,
4,Hong Kong,China,East Asia & Pacific,2015,
5,Busan,South Korea,East Asia & Pacific,2004,11430000
5,Busan,South Korea,East Asia & Pacific,2005,11843000
5,Busan,South Korea,East Asia & Pacific,2006,12039000
5,Busan,South Korea,East Asia & Pacific,2007,13270000
5,Busan,South Korea,East Asia & Pacific,2008,13425000
5,Busan,South Korea,East Asia & Pacific,2009,11954000
5,Busan,South Korea,East Asia & Pacific,2010,14157000
5,Busan,South Korea,East Asia & Pacific,2011,16185000
5,Busan,South Korea,East Asia & Pacific,2012,17046000
