ID,Year,Title,Authors,Journal,Volume,Issue,Page start,Page end,Document Type,Abstract,Species,Cell Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
1,2007,Directly Reprogrammed Fibroblasts Show_Global_Epigenetic_Remodeling and_Widespread_Tissue_Contribution,"Maherali, N. # Sridharan, R. # Xie, W. # Utikal, J. # Eminli, S. # Arnold, K. # Stadtfeld, M. # Yachechko, R. # Tchieu, J. # Jaenisch, R. # Plath, K. # Hochedlinger, K. #",Cell Stem Cell,1,1,55,70,Article,"Ectopic expression of the four transcription factors Oct4, Sox2, c-Myc, and Klf4 is sufficient to confer a pluripotent state upon the fibroblast genome, generating induced pluripotent stem (iPS) cells. It remains unknown if nuclear reprogramming induced by these four factors globally resets epigenetic differences between differentiated and pluripotent cells. Here, using novel selection approaches, we have generated iPS cells from fibroblasts to characterize their epigenetic state. Female iPS cells showed reactivation of a somatically silenced X chromosome and underwent random X inactivation upon differentiation. Genome-wide analysis of two key histone modifications indicated that iPS cells are highly similar to ES cells. Consistent with these observations, iPS cells gave rise to viable high-degree chimeras with contribution to the germline. These data show that transcription factor-induced reprogramming leads to the global reversion of the somatic epigenome into an ES-like state. Our results provide a paradigm for studying the epigenetic modifications that accompany nuclear reprogramming and suggest that abnormal epigenetic reprogramming does not pose a problem for the potential therapeutic applications of iPS cells. © 2007 Elsevier Inc. All rights reserved.",Mouse,iPS cell,0,34,135,158,164,175,125,98,101,58,1048
2,2007,Prediction and Testing of Novel Transcriptional Networks Regulating Embryonic Stem Cell Self-Renewal and Commitment,"Walker, E. # Ohishi, M. # Davey, R.E. # Zhang, W. # Cassar, P.A. # Tanaka, T.S. # Der, S.D. # Morris, Q. # Hughes, T.R. # Zandstra, P.W. # Stanford, W.L. #",Cell Stem Cell,1,1,71,86,Article,"Stem cell fate is governed by the integration of intrinsic and extrinsic positive and negative signals upon inherent transcriptional networks. To identify novel embryonic stem cell (ESC) regulators and assemble transcriptional networks controlling ESC fate, we performed temporal expression microarray analyses of ESCs after the initiation of commitment and integrated these data with known genome-wide transcription factor binding. Effects of forced under- or overexpression of predicted novel regulators, defined as differentially expressed genes with potential binding sites for known regulators of pluripotency, demonstrated greater than 90% correspondence with predicted function, as assessed by functional and high-content assays of self-renewal. We next assembled 43 theoretical transcriptional networks in ESCs, 82% (23 out of 28 tested) of which were supported by analysis of genome-wide expression in Oct4 knockdown cells. By using this integrative approach, we have formulated novel networks describing gene repression of key developmental regulators in undifferentiated ESCs and successfully predicted the outcomes of genetic manipulation of these networks. © 2007 Elsevier Inc. All rights reserved.",Mouse,Embryonic stem cell,0,0,4,11,9,14,9,6,4,4,61
3,2007,shRNA Knockdown of Bmi-1 Reveals a Critical Role for p21-Rb Pathway in NSC Self-Renewal during Development,"Fasano, C.A. # Dimos, J.T. # Ivanova, N.B. # Lowry, N. # Lemischka, I.R. # Temple, S. #",Cell Stem Cell,1,1,87,99,Article,"Knockout studies have shown that the polycomb gene Bmi-1 is important for postnatal, but not embryonic, neural stem cell (NSC) self-renewal and have identified the cell-cycle inhibitors p16/p19 as molecular targets. Here, using lentiviral-delivered shRNAs in vitro and in vivo, we determined that Bmi-1 is also important for NSC self-renewal in the embryo. We found that neural progenitors depend increasingly on Bmi-1 for proliferation as development proceeds from embryonic through adult stages. Acute shRNA-mediated Bmi-1 reduction_causes defects in embryonic and adult NSC proliferation and self-renewal that, unexpectedly, are mediated by a different cell-cycle inhibitor,_p21. Gene array analyses revealed developmental differences in Bmi-1-controlled expression of genes in the p21-Rb cell cycle regulatory pathway. Our data therefore implicate p21 as an important Bmi-1 target in NSCs, potentially with stage-related differences. Understanding stage-related mechanisms underlying NSC self-renewal has important implications for development of stem cell-based therapies. © 2007 Elsevier Inc. All rights reserved.",Mouse,Neural stem cell,0,2,13,18,22,27,33,24,26,15,180
4,2007,Foxo3a Is Essential for Maintenance of the Hematopoietic Stem Cell Pool,"Miyamoto, K. # Araki, K.Y. # Naka, K. # Arai, F. # Takubo, K. # Yamazaki, S. # Matsuoka, S. # Miyamoto, T. # Ito, K. # Ohmura, M. # Chen, C. # Hosokawa, K. # Nakauchi, H. # Nakayama, K. # Nakayama, K.I. # Harada, M. # Motoyama, N. # Suda, T. # Hirao, A. #",Cell Stem Cell,1,1,101,112,Article,"Hematopoietic stem cells (HSCs) are maintained in an undifferentiated quiescent state within a bone marrow niche. Here we show that Foxo3a, a forkhead transcription factor that acts downstream of the PTEN/PI3K/Akt pathway, is critical for HSC self-renewal. We generated gene-targeted Foxo3a-/- mice and showed that, although the proliferation and differentiation of Foxo3a-/- hematopoietic progenitors were normal, the number of colony-forming cells present in long-term cocultures of Foxo3a-/- bone marrow cells and stromal cells was reduced. The ability of Foxo3a-/- HSCs to support long-term reconstitution of hematopoiesis in a competitive transplantation assay was also impaired. Foxo3a-/- HSCs also showed increased phosphorylation of p38MAPK, an elevation of ROS, defective maintenance of quiescence, and heightened sensitivity to cell-cycle-specific myelotoxic injury. Finally, HSC frequencies were significantly decreased in aged Foxo3a-/- mice compared to the littermate controls. Our results demonstrate that Foxo3a plays a pivotal role in maintaining the HSC pool. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,8,21,42,45,66,41,66,66,44,399
5,2007,Deletion of the Developmentally Essential Gene ATR in Adult Mice Leads to Age-Related Phenotypes and Stem Cell Loss,"Ruzankina, Y. # Pinzon-Guzman, C. # Asare, A. # Ong, T. # Pontano, L. # Cotsarelis, G. # Zediak, V.P. # Velez, M. # Bhandoola, A. # Brown, E.J. #",Cell Stem Cell,1,1,113,126,Article,"Developmental abnormalities, cancer, and premature aging each have been linked to defects in the DNA damage response (DDR). Mutations in the ATR checkpoint regulator cause developmental defects in mice (pregastrulation lethality) and humans (Seckel syndrome). Here we show that eliminating ATR in adult mice leads to defects in tissue homeostasis and the rapid appearance of age-related phenotypes, such as hair graying, alopecia, kyphosis, osteoporosis, thymic involution, fibrosis, and other abnormalities. Histological and genetic analyses indicate that ATR deletion causes acute cellular loss in tissues in which continuous cell proliferation is required for maintenance. Importantly, thymic involution, alopecia, and hair graying in_ATR knockout mice were associated with dramatic reductions in tissue-specific stem and progenitor cells and exhaustion of tissue renewal and homeostatic capacity. In aggregate, these studies suggest that reduced regenerative capacity in adults via deletion of a developmentally essential DDR gene is sufficient to cause the premature appearance of age-related phenotypes. © 2007 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,4,11,26,31,26,43,30,37,37,245
6,2007,The Renewal and Differentiation of Isl1+ Cardiovascular Progenitors Are Controlled by a Wnt/_-Catenin Pathway,"Qyang, Y. # Martin-Puig, S. # Chiravuri, M. # Chen, S. # Xu, H. # Bu, L. # Jiang, X. # Lin, L. # Granger, A. # Moretti, A. # Caron, L. # Wu, X. # Clarke, J. # Taketo, M.M. # Laugwitz, K.-L. # Moon, R.T. # Gruber, P. # Evans, S.M. # Ding, S. # Chien, K.R. #",Cell Stem Cell,1,2,165,179,Article,"Isl1+ cardiovascular progenitors and their downstream progeny play a pivotal role in cardiogenesis and lineage diversification of the heart. The mechanisms that control their renewal and differentiation are largely unknown. Herein, we show that the Wnt/_-catenin pathway is a major component by which cardiac mesenchymal cells modulate the prespecification, renewal, and differentiation of isl1+ cardiovascular progenitors. This microenvironment can be reconstituted by a Wnt3a-secreting feeder layer with ES cell-derived, embryonic, and postnatal isl1+ cardiovascular progenitors. In vivo activation of _-catenin signaling in isl1+ progenitors of the secondary heart field leads to their massive accumulation, inhibition of differentiation, and outflow tract (OFT) morphogenic defects. In addition, the mitosis rate in OFT myocytes is significantly reduced following _-catenin deletion in isl1+ precursors. Agents that manipulate Wnt signals can markedly expand isl1+ progenitors from human neonatal hearts, a key advance toward the cloning of human isl1+ heart progenitors. © 2007 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,0,17,24,25,27,34,22,20,16,185
7,2007,Wip1 Phosphatase Regulates p53-Dependent Apoptosis of Stem Cells and Tumorigenesis in the Mouse Intestine,"Demidov, O.N. # Timofeev, O. # Lwin, H.N.Y. # Kek, C. # Appella, E. # Bulavin, D.V. #",Cell Stem Cell,1,2,180,190,Article,"Colorectal cancer is one of the major causes of cancer-related deaths. To gain further insights into the mechanisms underlying its development, we investigated the role of Wip1 phosphatase, which is highly expressed in intestinal stem cells, in the mouse model of APCMin-driven polyposis. We found that Wip1 removal increased the life span of APCMin mice through a significant suppression of polyp formation. This protection was dependent on the p53 tumor suppressor, which plays a putative role in the regulation of apoptosis of intestinal stem cells. Activation of apoptosis in stem cells of Wip1-deficient mice, but not wild-type APCMin mice, increased when the Wnt pathway was constitutively activated. We propose, therefore, that the Wip1 phosphatase regulates homeostasis of intestinal stem cells. In turn, Wip1 loss suppresses APCMin-driven polyposis by lowering the threshold for p53-dependent apoptosis of stem cells, thus preventing their conversion into tumor-initiating stem cells. © 2007 Elsevier Inc. All rights reserved.",Mouse,"Cancer stem cell, Tissue stem cell",0,0,4,10,6,7,12,8,4,10,61
8,2007,The Adult Drosophila Malpighian Tubules Are Maintained by Multipotent Stem Cells,"Singh, S.R. # Liu, W. # Hou, S.X. #",Cell Stem Cell,1,2,191,203,Article,"All animals must excrete the waste products of metabolism. Excretion is performed by the kidney in vertebrates and by the Malpighian tubules in Drosophila. The mammalian kidney has an inherent ability for recovery and regeneration after ischemic injury. Stem cells and progenitor cells have been proposed to be responsible for repair and regeneration of injured renal tissue. In Drosophila, the Malpighian tubules are thought to be very stable and no stem cells have been identified. We have identified multipotent stem cells in the region of lower tubules and ureters of the Malpighian tubules. Using lineage tracing and molecular marker labeling, we demonstrated that several differentiated cells in the Malpighian tubules arise from the stem cells and an autocrine JAK-STAT signaling regulates the stem cells' self-renewal. Identifying adult kidney stem cells in Drosophila may provide important clues for understanding mammalian kidney repair and regeneration during injury. © 2007 Elsevier Inc. All rights reserved.",Other,Tissue stem cell,0,1,14,11,17,17,7,15,8,14,104
9,2007,Lack of Evidence that Hematopoietic Stem Cells Depend on N-Cadherin-Mediated Adhesion to Osteoblasts for Their Maintenance,"Kiel, M.J. # Radice, G.L. # Morrison, S.J. #",Cell Stem Cell,1,2,204,217,Article,"Recent studies have proposed that bone marrow hematopoietic stem cells (HSCs) are maintained via N-cadherin-mediated homophilic adhesion with osteoblasts. However, there is not yet any evidence that N-cadherin-expressing cells have HSC activity or that osteoblasts are required for HSC maintenance. We were unable to detect N-cadherin expression in highly purified HSCs by polymerase chain reaction, by using commercial anti-N-cadherin antibodies, or by _-galactosidase staining of N-cadherin gene trap mice. Only N-cadherin-negative bone marrow cells exhibited HSC activity in irradiated mice. Finally, biglycan-deficient mice had significant reductions in trabecular bone and osteoblasts but showed no defects in hematopoiesis, HSC frequency, or function. Thus, reductions in osteoblasts do not necessarily lead to reductions in HSCs. Most bone marrow HSCs in wild-type and biglycan-deficient mice localized to sinusoids, and few localized within five cell diameters of the endosteum. These results question whether significant numbers of HSCs depend on N-cadherin-mediated adhesion to osteoblasts. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,2,20,21,20,19,34,15,19,14,164
10,2007,Long-Term Propagation of Distinct Hematopoietic Differentiation Programs In Vivo,"Dykstra, B. # Kent, D. # Bowie, M. # McCaffrey, L. # Hamilton, M. # Lyons, K. # Lee, S.-J. # Brinkman, R. # Eaves, C.J. #",Cell Stem Cell,1,2,218,229,Article,"Heterogeneity in the differentiation behavior of hematopoietic stem cells is well documented but poorly understood. To investigate this question at a clonal level, we isolated a subpopulation of adult mouse bone marrow that is highly enriched for multilineage in vivo repopulating cells and transplanted these as single cells, or their short-term clonal progeny generated in_vitro, into 352 recipients. Of the mice, 93 showed a donor-derived contribution to the circulating white blood cells for at least 4 months in one of four distinct patterns. Serial transplantation experiments indicated that two of the patterns were associated with extensive self-renewal of the original cell transplanted. However, within 4 days in vitro, the repopulation patterns subsequently obtained in vivo shifted in a clone-specific fashion to those with less myeloid contribution. Thus, primitive hematopoietic cells can maintain distinct repopulation properties upon serial transplantation in vivo, although these properties can also alter rapidly in vitro. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,2,13,9,25,33,37,33,37,31,220
