"USE THESE AUTHORS																																																																																																																																																																												"
"Maherali	 N.	 #	 Sridharan	 R.	 #	 Xie	 W.	 #	 Utikal	 J.	 #	 Eminli	 S.	 #	 Arnold	 K.	 #	 Stadtfeld	 M.	 #	 Yachechko	 R.	 #	 Tchieu	 J.	 #	 Jaenisch	 R.	 #	 Plath	 K.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Walker	 E.	 #	 Ohishi	 M.	 #	 Davey	 R.E.	 #	 Zhang	 W.	 #	 Cassar	 P.A.	 #	 Tanaka	 T.S.	 #	 Der	 S.D.	 #	 Morris	 Q.	 #	 Hughes	 T.R.	 #	 Zandstra	 P.W.	 #	 Stanford	 W.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Fasano	 C.A.	 #	 Dimos	 J.T.	 #	 Ivanova	 N.B.	 #	 Lowry	 N.	 #	 Lemischka	 I.R.	 #	 Temple	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Miyamoto	 K.	 #	 Araki	 K.Y.	 #	 Naka	 K.	 #	 Arai	 F.	 #	 Takubo	 K.	 #	 Yamazaki	 S.	 #	 Matsuoka	 S.	 #	 Miyamoto	 T.	 #	 Ito	 K.	 #	 Ohmura	 M.	 #	 Chen	 C.	 #	 Hosokawa	 K.	 #	 Nakauchi	 H.	 #	 Nakayama	 K.	 #	 Nakayama	 K.I.	 #	 Harada	 M.	 #	 Motoyama	 N.	 #	 Suda	 T.	 #	 Hirao	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ruzankina	 Y.	 #	 Pinzon-Guzman	 C.	 #	 Asare	 A.	 #	 Ong	 T.	 #	 Pontano	 L.	 #	 Cotsarelis	 G.	 #	 Zediak	 V.P.	 #	 Velez	 M.	 #	 Bhandoola	 A.	 #	 Brown	 E.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Qyang	 Y.	 #	 Martin-Puig	 S.	 #	 Chiravuri	 M.	 #	 Chen	 S.	 #	 Xu	 H.	 #	 Bu	 L.	 #	 Jiang	 X.	 #	 Lin	 L.	 #	 Granger	 A.	 #	 Moretti	 A.	 #	 Caron	 L.	 #	 Wu	 X.	 #	 Clarke	 J.	 #	 Taketo	 M.M.	 #	 Laugwitz	 K.-L.	 #	 Moon	 R.T.	 #	 Gruber	 P.	 #	 Evans	 S.M.	 #	 Ding	 S.	 #	 Chien	 K.R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Demidov	 O.N.	 #	 Timofeev	 O.	 #	 Lwin	 H.N.Y.	 #	 Kek	 C.	 #	 Appella	 E.	 #	 Bulavin	 D.V.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Singh	 S.R.	 #	 Liu	 W.	 #	 Hou	 S.X.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kiel	 M.J.	 #	 Radice	 G.L.	 #	 Morrison	 S.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Dykstra	 B.	 #	 Kent	 D.	 #	 Bowie	 M.	 #	 McCaffrey	 L.	 #	 Hamilton	 M.	 #	 Lyons	 K.	 #	 Lee	 S.-J.	 #	 Brinkman	 R.	 #	 Eaves	 C.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Okamoto	 S.-i.	 #	 Kang	 Y.-J.	 #	 Brechtel	 C.W.	 #	 Siviglia	 E.	 #	 Russo	 R.	 #	 Clemente	 A.	 #	 Harrop	 A.	 #	 McKercher	 S.	 #	 Kaul	 M.	 #	 Lipton	 S.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Blelloch	 R.	 #	 Venere	 M.	 #	 Yen	 J.	 #	 Ramalho-Santos	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nystul	 T.	 #	 Spradling	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
