country,index
Argentina,0
Australia,1
Austria,2
Bangladesh,3
Belgium,4
Canada,5
Chile,6
China,7
Colombia,8
Costa Rica,9
Cyprus,10
Czechoslovakia,11
Denmark,12
Egypt,13
Finland,14
France,15
Germany,16
Ghana,17
Greece,18
Guatemala,19
Hungary,20
Iceland,21
India,22
Iran,23
Ireland,24
Israel,25
Italy,26
Japan,27
Kenya,28
Liberia,29
Mexico,30
Myanmar,31
Netherlands,32
Nigeria,33
Norway,34
Pakistan,35
Palestinian Territory,36
Peru,37
Poland,38
Portugal,39
Russia,40
Saint Lucia,41
South Africa,42
South Korea,43
Soviet Union,44
Spain,45
Sweden,46
Switzerland,47
Timor Leste,48
Tunisia,49
Turkey,50
Ukraine,51
United Kingdom,52
United States,53
Vietnam,54
Yemen,55
Yugoslavia,56
