year,prize,country,gender,firstName,lastName,medalCount,affiliation
2015,,Argentina,,,,0,
2014,,Argentina,,,,0,
2013,,Argentina,,,,0,
2012,,Argentina,,,,0,
2011,,Argentina,,,,0,
2010,,Argentina,,,,0,
2009,,Argentina,,,,0,
2008,,Argentina,,,,0,
2007,,Argentina,,,,0,
2006,,Argentina,,,,0,
2005,,Argentina,,,,0,
2004,,Argentina,,,,0,
2003,,Argentina,,,,0,
2002,,Argentina,,,,0,
2001,,Argentina,,,,0,
2000,,Argentina,,,,0,
1999,,Argentina,,,,0,
1998,,Argentina,,,,0,
1997,,Argentina,,,,0,
1996,,Argentina,,,,0,
1995,,Argentina,,,,0,
1994,,Argentina,,,,0,
1993,,Argentina,,,,0,
1992,,Argentina,,,,0,
1991,,Argentina,,,,0,
1990,,Argentina,,,,0,
1989,,Argentina,,,,0,
1988,,Argentina,,,,0,
1987,,Argentina,,,,0,
1986,,Argentina,,,,0,
1985,,Argentina,,,,0,
1984,Physiology or Medicine,Argentina,Male,Cesar,Milstein,1,MRC Laboratory of Molecular Biology
1983,,Argentina,,,,0,
1982,,Argentina,,,,0,
1981,,Argentina,,,,0,
1980,Peace,Argentina,Male,Mother Teresa,,1,
1979,,Argentina,,,,0,
1978,,Argentina,,,,0,
1977,,Argentina,,,,0,
1976,,Argentina,,,,0,
1975,,Argentina,,,,0,
1974,,Argentina,,,,0,
1973,,Argentina,,,,0,
1972,,Argentina,,,,0,
1971,,Argentina,,,,0,
1970,Chemistry,Argentina,Male,Luis,Leloir,1,Institute for Biochemical Research
1969,,Argentina,,,,0,
1968,,Argentina,,,,0,
1967,,Argentina,,,,0,
1966,,Argentina,,,,0,
1965,,Argentina,,,,0,
1964,,Argentina,,,,0,
1963,,Argentina,,,,0,
1962,,Argentina,,,,0,
1961,,Argentina,,,,0,
1960,,Argentina,,,,0,
1959,,Argentina,,,,0,
1958,,Argentina,,,,0,
1957,,Argentina,,,,0,
1956,,Argentina,,,,0,
1955,,Argentina,,,,0,
1954,,Argentina,,,,0,
1953,,Argentina,,,,0,
1952,,Argentina,,,,0,
1951,,Argentina,,,,0,
1950,,Argentina,,,,0,
1949,,Argentina,,,,0,
1948,,Argentina,,,,0,
1947,Physiology or Medicine,Argentina,Male,Bernardo,Houssay,1,Instituto de Biologia y Medicina Experimenta
1946,,Argentina,,,,0,
1945,,Argentina,,,,0,
1944,,Argentina,,,,0,
1943,,Argentina,,,,0,
1942,,Argentina,,,,0,
1941,,Argentina,,,,0,
1940,,Argentina,,,,0,
1939,,Argentina,,,,0,
1938,,Argentina,,,,0,
1937,,Argentina,,,,0,
1936,Peace,Argentina,Male,Carl,von Ossietzky,1,
1935,,Argentina,,,,0,
1934,,Argentina,,,,0,
1933,,Argentina,,,,0,
1932,,Argentina,,,,0,
1931,,Argentina,,,,0,
1930,,Argentina,,,,0,
1929,,Argentina,,,,0,
1928,,Argentina,,,,0,
1927,,Argentina,,,,0,
1926,,Argentina,,,,0,
1925,,Argentina,,,,0,
1924,,Argentina,,,,0,
1923,,Argentina,,,,0,
1922,,Argentina,,,,0,
1921,,Argentina,,,,0,
1920,,Argentina,,,,0,
1919,,Argentina,,,,0,
1918,,Argentina,,,,0,
1917,,Argentina,,,,0,
1916,,Argentina,,,,0,
1915,,Argentina,,,,0,
1914,,Argentina,,,,0,
1913,,Argentina,,,,0,
1912,,Argentina,,,,0,
1911,,Argentina,,,,0,
1910,,Argentina,,,,0,
1909,,Argentina,,,,0,
1908,,Argentina,,,,0,
1907,,Argentina,,,,0,
1906,,Argentina,,,,0,
1905,,Argentina,,,,0,
1904,,Argentina,,,,0,
1903,,Argentina,,,,0,
1902,,Argentina,,,,0,
1901,,Argentina,,,,0,
2015,,Australia,,,,0,
2014,,Australia,,,,0,
2013,,Australia,,,,0,
2012,,Australia,,,,0,
2011,,Australia,,,,0,
2010,,Australia,,,,0,
2009,Physiology or Medicine,Australia,Female,Elizabeth H.,Blackburn,1,University of California
2008,,Australia,,,,0,
2007,,Australia,,,,0,
2006,,Australia,,,,0,
2005,Physiology or Medicine,Australia,Male,Barry J.,Marshall,1,University of Western Australia
2005,Physiology or Medicine,Australia,Male,J. Robin,Warren,1,
2004,,Australia,,,,0,
2003,,Australia,,,,0,
2002,,Australia,,,,0,
2001,,Australia,,,,0,
2000,,Australia,,,,0,
1999,,Australia,,,,0,
1998,,Australia,,,,0,
1997,,Australia,,,,0,
1996,Physiology or Medicine,Australia,Male,Peter C.,Doherty,1,St. Jude Children's Research Hospital
1995,,Australia,,,,0,
1994,,Australia,,,,0,
1993,,Australia,,,,0,
1992,,Australia,,,,0,
1991,,Australia,,,,0,
1990,,Australia,,,,0,
1989,,Australia,,,,0,
1988,,Australia,,,,0,
1987,,Australia,,,,0,
1986,,Australia,,,,0,
1985,,Australia,,,,0,
1984,,Australia,,,,0,
1983,,Australia,,,,0,
1982,,Australia,,,,0,
1981,,Australia,,,,0,
1980,,Australia,,,,0,
1979,,Australia,,,,0,
1978,,Australia,,,,0,
1977,,Australia,,,,0,
1976,,Australia,,,,0,
1975,Chemistry,Australia,Male,John,Cornforth,1,University of Sussex
1974,,Australia,,,,0,
1973,Literature,Australia,Male,Patrick,White,1,
1972,,Australia,,,,0,
1971,,Australia,,,,0,
1970,,Australia,,,,0,
1969,,Australia,,,,0,
