year,country,name,prize,,,,,,,,
1970,Argentina,Luis Leloir,Chemistry,,,,,,,,
1984,Argentina,Cesar Milstein,Medicine,,,,,,,,
1947,Argentina,Bernardo Houssay,Medicine,,,,,,,,
1980,Argentina,Mother Teresa ,Peace,,,,,,,,
1936,Argentina,Carl von Ossietzky,Peace,,,,,,,,
1975,Australia,John Cornforth,Chemistry,,,,,,,,
1973,Australia,Patrick White,Literature,,,,,,,,
2009,Australia,Elizabeth H. Blackburn,Medicine,,,,,,,,
2005,Australia,Barry J. Marshall,Medicine,,,,,,,,
2005,Australia,J. Robin Warren,Medicine,,,,,,,,
1996,Australia,Peter C. Doherty,Medicine,,,,,,,,
1963,Australia,Sir John Eccles,Medicine,,,,,,,,
1960,Australia,Sir Frank Macfarlane Burnet,Medicine,,,,,,,,
1945,Australia,Sir Howard Florey,Medicine,,,,,,,,
2013,Austria,Martin Karplus,Chemistry,,,,,,,,
1923,Austria,Fritz Pregl,Chemistry,,,,,,,,
2004,Austria,Elfriede Jelinek,Literature,,,,,,,,
1973,Austria,Konrad Lorenz,Medicine,,,,,,,,
1936,Austria,Otto Loewi,Medicine,,,,,,,,  
1930,Austria,Karl Landsteiner,Medicine,,,,,,,,
1927,Austria,Julius Wagner-Jauregg,Medicine,,,,,,,,
1914,Austria,Robert B_r_ny,Medicine,,,,,,,,
2005,Austria,Wangari Maathai,Peace,,,,,,,,
1911,Austria,Permanent International Peace Bureau ,Peace,,,,,,,,
1905,Austria,Institute of International Law ,Peace,,,,,,,,
1945,Austria,Wolfgang Pauli,Physics,,,,,,,,
1936,Austria,Victor F. Hess,Physics,,,,,,,,
1933,Austria,Erwin Schr_dinger,Physics,,,,,,,,
2006,Bangladesh,Mohamed ElBaradei,Peace,,,,,,,,
2006,Bangladesh,Grameen Bank ,Peace,,,,,,,,
1977,Belgium,Ilya Prigogine,Chemistry,,,,,,,,
1911,Belgium,Maurice Maeterlinck,Literature,,,,,,,,
1974,Belgium,Christian de Duve,Medicine,,,,,,,,
1974,Belgium,Albert Claude,Medicine,,,,,,,,
1938,Belgium,Corneille Heymans,Medicine,,,,,,,,
1919,Belgium,Jules Bordet,Medicine,,,,,,,,
2012,Belgium,Ellen Johnson Sirleaf,Peace,,,,,,,,
1999,Belgium,John Hume,Peace,,,,,,,,
1958,Belgium,Lester Bowles Pearson,Peace,,,,,,,,
1913,Belgium,Elihu Root,Peace,,,,,,,,
1909,Belgium,Paul Henri d'Estournelles de Constant,Peace,,,,,,,,
1904,Belgium,Randal Cremer,Peace,,,,,,,,
2013,Belgium,Francois Englert,Physics,,,,,,,,
1993,Canada,Michael Smith,Chemistry,,,,,,,,
1989,Canada,Sidney Altman,Chemistry,,,,,,,,
1986,Canada,John C. Polanyi,Chemistry,,,,,,,,
1971,Canada,Gerhard Herzberg,Chemistry,,,,,,,,
1999,Canada,Robert A. Mundell,Economics,,,,,,,,
2013,Canada,Alice Munro,Literature,,,,,,,,
2011,Canada,Ralph M. Steinman,Medicine,,,,,,,,
2009,Canada,Jack W. Szostak,Medicine,,,,,,,,
1923,Canada,Frederick G. Banting,Medicine,,,,,,,,
1923,Canada,John Macleod,Medicine,,,,,,,,
1995,Canada,Yasser Arafat,Peace,,,,,,,,
1957,Canada,Office of the United Nations High Commissioner for Refugees ,Peace,,,,,,,,
2015,Canada,Arthur B. McDonald,Physics,,,,,,,,
2009,Canada,Willard S. Boyle,Physics,,,,,,,,
1994,Canada,Bertram N. Brockhouse,Physics,,,,,,,,
1990,Canada,Richard E. Taylor,Physics,,,,,,,,
1971,Chile,Pablo Neruda,Literature,,,,,,,,
1945,Chile,Gabriela Mistral,Literature,,,,,,,,
2010,China,Ei-ichi Negishi,Chemistry,,,,,,,,
2012,China,Mo Yan,Literature,,,,,,,,
2015,China,Youyou Tu,Medicine,,,,,,,,
2010,China,Barack Obama,Peace,,,,,,,,
1989,China,United Nations Peacekeeping Forces ,Peace,,,,,,,,
2009,China,Charles K. Kao,Physics,,,,,,,,
1957,China,Tsung-Dao Lee,Physics,,,,,,,,
1957,China,Chen Ning Yang,Physics,,,,,,,,
1982,Colombia,Gabriel Garcêa M_rquez,Literature,,,,,,,,
1987,Costa Rica,Elie Wiesel,Peace,,,,,,,,
2010,Cyprus,Christopher A. Pissarides,Economics,,,,,,,,
1959,Czechoslovakia,Jaroslav Heyrovsky,Chemistry,,,,,,,,
1984,Czechoslovakia,Jaroslav Seifert,Literature,,,,,,,,
1997,Denmark,Jens C. Skou,Chemistry,,,,,,,,
1944,Denmark,Johannes V. Jensen,Literature,,,,,,,,
1917,Denmark,Karl Gjellerup,Literature,,,,,,,,
1917,Denmark,Henrik Pontoppidan,Literature,,,,,,,,
1984,Denmark,Niels K. Jerne,Medicine,,,,,,,,
1943,Denmark,Henrik Dam,Medicine,,,,,,,,
1926,Denmark,Johannes Fibiger,Medicine,,,,,,,,
1920,Denmark,August Krogh,Medicine,,,,,,,,
1903,Denmark,Niels Ryberg Finsen,Medicine,,,,,,,,
1908,Denmark,Ernesto Teodoro Moneta,Peace,,,,,,,,
1975,Denmark,Aage N. Bohr,Physics,,,,,,,,
1975,Denmark,Ben R. Mottelson,Physics,,,,,,,,
1922,Denmark,Niels Bohr,Physics,,,,,,,,
1999,Egypt,Ahmed Zewail,Chemistry,,,,,,,,
1988,Egypt,Naguib Mahfouz,Literature,,,,,,,,
2005,Egypt,International Atomic Energy Agency ,Peace,,,,,,,,
1978,Egypt,Menachem Begin,Peace,,,,,,,,
1945,Finland,Artturi Virtanen,Chemistry,,,,,,,,
1939,Finland,Frans Eemil Sillanp__,Literature,,,,,,,,
2008,Finland,Albert Arnold (Al) Gore Jr.,Peace,,,,,,,,
2005,France,Yves Chauvin,Chemistry,,,,,,,,
1987,France,Jean-Marie Lehn,Chemistry,,,,,,,,
1935,France,Irène Joliot-Curie,Chemistry,,,,,,,,
1935,France,Fr_d_ric Joliot,Chemistry,,,,,,,,
1912,France,Victor Grignard,Chemistry,,,,,,,,
1912,France,Paul Sabatier,Chemistry,,,,,,,,
1911,France,Marie Curie,Chemistry,,,,,,,,
1906,France,Henri Moissan,Chemistry,,,,,,,,
2014,France,Jean Tirole,Economics,,,,,,,,
1988,France,Maurice Allais,Economics,,,,,,,,
1983,France,Gerard Debreu,Economics,,,,,,,,
2014,France,Patrick Modiano,Literature,,,,,,,,
2008,France,Jean-Marie Gustave Le Cl_zio,Literature,,,,,,,,
2000,France,Gao Xingjian,Literature,,,,,,,,
1985,France,Claude Simon,Literature,,,,,,,,
1964,France,Jean-Paul Sartre,Literature,,,,,,,,
1960,France,Saint-John Perse,Literature,,,,,,,,
1957,France,Albert Camus,Literature,,,,,,,,
1952,France,François Mauriac,Literature,,,,,,,,
1947,France,Andr_ Gide,Literature,,,,,,,,
1937,France,Roger Martin du Gard,Literature,,,,,,,,
1927,France,Henri Bergson,Literature,,,,,,,,
1921,France,Anatole France,Literature,,,,,,,,
1915,France,Romain Rolland,Literature,,,,,,,,
1904,France,Fr_d_ric Mistral,Literature,,,,,,,,
1901,France,Sully Prudhomme,Literature,,,,,,,,
2011,France,Jules A. Hoffmann,Medicine,,,,,,,,
2008,France,Françoise Barr_-Sinoussi,Medicine,,,,,,,,
2008,France,Luc Montagnier,Medicine,,,,,,,,
1980,France,Jean Dausset,Medicine,,,,,,,,
1965,France,François Jacob,Medicine,,,,,,,,
1965,France,Andr_ Lwoff,Medicine,,,,,,,,
1965,France,Jacques Monod,Medicine,,,,,,,,
1928,France,Charles Nicolle,Medicine,,,,,,,,
1913,France,Charles Richet,Medicine,,,,,,,,
1912,France,Alexis Carrel,Medicine,,,,,,,,
1907,France,Alphonse Laveran,Medicine,,,,,,,,
1968,France,United Nations Children's Fund ,Peace,,,,,,,,
1952,France,L_on Jouhaux,Peace,,,,,,,,
1951,France,Ralph Bunche,Peace,,,,,,,,
1927,France,Ludwig Quidde,Peace,,,,,,,,
1926,France,Gustav Stresemann,Peace,,,,,,,,
1920,France,Woodrow Wilson,Peace,,,,,,,,
1909,France,Klas Pontus Arnoldson,Peace,,,,,,,,
1907,France,Theodore Roosevelt,Peace,,,,,,,,
1901,France, ,Peace,,,,,,,,
2012,France,Serge Haroche,Physics,,,,,,,,
2007,France,Albert Fert,Physics,,,,,,,,
1997,France,Claude Cohen-Tannoudji,Physics,,,,,,,,
1992,France,Georges Charpak,Physics,,,,,,,,
1991,France,Pierre-Gilles de Gennes,Physics,,,,,,,,
1970,France,Louis N_el,Physics,,,,,,,,
1966,France,Alfred Kastler,Physics,,,,,,,,
1929,France,Louis de Broglie,Physics,,,,,,,,
1926,France,Jean Baptiste Perrin,Physics,,,,,,,,
1908,France,Gabriel Lippmann,Physics,,,,,,,,
1903,France,Pierre Curie,Physics,,,,,,,,
1903,France,Henri Becquerel,Physics,,,,,,,,
1903,France,Marie Curie,Physics,,,,,,,,
2014,Germany,Stefan W. Hell,Chemistry,,,,,,,,
2007,Germany,Gerhard Ertl,Chemistry,,,,,,,,
1988,Germany,Robert Huber,Chemistry,,,,,,,,
1988,Germany,Hartmut Michel,Chemistry,,,,,,,,
1988,Germany,Johann Deisenhofer,Chemistry,,,,,,,,
1979,Germany,Georg Wittig,Chemistry,,,,,,,,
1973,Germany,Ernst Otto Fischer,Chemistry,,,,,,,,
1967,Germany,Manfred Eigen,Chemistry,,,,,,,,
1963,Germany,Karl Ziegler,Chemistry,,,,,,,,
1953,Germany,Hermann Staudinger,Chemistry,,,,,,,,
1950,Germany,Kurt Alder,Chemistry,,,,,,,,
1950,Germany,Otto Diels,Chemistry,,,,,,,,
