year,country,name,prize,chem,econ,lit,med,peace,physics,,
1970,Argentina,Luis Leloir,Chemistry,1,,,,,,,
1984,Argentina,Cesar Milstein,Medicine,,,,1,,,,
1947,Argentina,Bernardo Houssay,Medicine,,,,1,,,,
1980,Argentina,Mother Teresa ,Peace,,,,,1,,,
1936,Argentina,Carl von Ossietzky,Peace,,,,,1,,,
1975,Australia,John Cornforth,Chemistry,1,,,,,,,
1973,Australia,Patrick White,Literature,,,1,,,,,
2009,Australia,Elizabeth H. Blackburn,Medicine,,,,1,,,,
2005,Australia,Barry J. Marshall,Medicine,,,,1,,,,
2005,Australia,J. Robin Warren,Medicine,,,,1,,,,
1996,Australia,Peter C. Doherty,Medicine,,,,1,,,,
1963,Australia,Sir John Eccles,Medicine,,,,1,,,,
1960,Australia,Sir Frank Macfarlane Burnet,Medicine,,,,1,,,,
1945,Australia,Sir Howard Florey,Medicine,,,,1,,,,
2013,Austria,Martin Karplus,Chemistry,1,,,,,,,
1923,Austria,Fritz Pregl,Chemistry,1,,,,,,,
2004,Austria,Elfriede Jelinek,Literature,,,1,,,,,
1973,Austria,Konrad Lorenz,Medicine,,,,1,,,,
1936,Austria,Otto Loewi,Medicine,,,,1,,,,  
1930,Austria,Karl Landsteiner,Medicine,,,,1,,,,
1927,Austria,Julius Wagner-Jauregg,Medicine,,,,1,,,,
1914,Austria,Robert B_r_ny,Medicine,,,,1,,,,
2005,Austria,Wangari Maathai,Peace,,,,,1,,,
1911,Austria,Permanent International Peace Bureau ,Peace,,,,,1,,,
1905,Austria,Institute of International Law ,Peace,,,,,1,,,
1945,Austria,Wolfgang Pauli,Physics,,,,,,1,,
1936,Austria,Victor F. Hess,Physics,,,,,,1,,
1933,Austria,Erwin Schr_dinger,Physics,,,,,,1,,
2006,Bangladesh,Mohamed ElBaradei,Peace,,,,,1,,,
2006,Bangladesh,Grameen Bank ,Peace,,,,,1,,,
1977,Belgium,Ilya Prigogine,Chemistry,1,,,,,,,
1911,Belgium,Maurice Maeterlinck,Literature,,,1,,,,,
1974,Belgium,Christian de Duve,Medicine,,,,1,,,,
1974,Belgium,Albert Claude,Medicine,,,,1,,,,
1938,Belgium,Corneille Heymans,Medicine,,,,1,,,,
1919,Belgium,Jules Bordet,Medicine,,,,1,,,,
2012,Belgium,Ellen Johnson Sirleaf,Peace,,,,,1,,,
1999,Belgium,John Hume,Peace,,,,,1,,,
1958,Belgium,Lester Bowles Pearson,Peace,,,,,1,,,
1913,Belgium,Elihu Root,Peace,,,,,1,,,
1909,Belgium,Paul Henri d'Estournelles de Constant,Peace,,,,,1,,,
1904,Belgium,Randal Cremer,Peace,,,,,1,,,
2013,Belgium,Francois Englert,Physics,,,,,,1,,
1993,Canada,Michael Smith,Chemistry,1,,,,,,,
1989,Canada,Sidney Altman,Chemistry,1,,,,,,,
1986,Canada,John C. Polanyi,Chemistry,1,,,,,,,
1971,Canada,Gerhard Herzberg,Chemistry,1,,,,,,,
1999,Canada,Robert A. Mundell,Economics,,1,,,,,,
2013,Canada,Alice Munro,Literature,,,1,,,,,
2011,Canada,Ralph M. Steinman,Medicine,,,,1,,,,
2009,Canada,Jack W. Szostak,Medicine,,,,1,,,,
1923,Canada,Frederick G. Banting,Medicine,,,,1,,,,
1923,Canada,John Macleod,Medicine,,,,1,,,,
1995,Canada,Yasser Arafat,Peace,,,,,1,,,
1957,Canada,Office of the United Nations High Commissioner for Refugees ,Peace,,,,,1,,,
2015,Canada,Arthur B. McDonald,Physics,,,,,,1,,
2009,Canada,Willard S. Boyle,Physics,,,,,,1,,
1994,Canada,Bertram N. Brockhouse,Physics,,,,,,1,,
1990,Canada,Richard E. Taylor,Physics,,,,,,1,,
1971,Chile,Pablo Neruda,Literature,,,1,,,,,
1945,Chile,Gabriela Mistral,Literature,,,1,,,,,
2010,China,Ei-ichi Negishi,Chemistry,1,,,,,,,
2012,China,Mo Yan,Literature,,,1,,,,,
2015,China,Youyou Tu,Medicine,,,,1,,,,
2010,China,Barack Obama,Peace,,,,,1,,,
1989,China,United Nations Peacekeeping Forces ,Peace,,,,,1,,,
2009,China,Charles K. Kao,Physics,,,,,,1,,
1957,China,Tsung-Dao Lee,Physics,,,,,,1,,
1957,China,Chen Ning Yang,Physics,,,,,,1,,
1982,Colombia,Gabriel Garcêa M_rquez,Literature,,,1,,,,,
1987,Costa Rica,Elie Wiesel,Peace,,,,,1,,,
2010,Cyprus,Christopher A. Pissarides,Economics,,1,,,,,,
1959,Czechoslovakia,Jaroslav Heyrovsky,Chemistry,1,,,,,,,
1984,Czechoslovakia,Jaroslav Seifert,Literature,,,1,,,,,
1997,Denmark,Jens C. Skou,Chemistry,1,,,,,,,
1944,Denmark,Johannes V. Jensen,Literature,,,1,,,,,
