State,Twitter,Infected,Suspected
Colombia,,3292,65338
Brazil,,1034,70611
Puerto Rico,,550,0
Suriname,,527,3490
French Guiana,,411,4090
Venezuela,,352,31224
Guatemala,,261,915
Guadeloupe,,239,1335
Mexico,,239,0
Panama,,220,0
Nicaragua,,139,0
Ecuador,,92,140
Florida,,83,0
Curacao,,73,0
Dominican Republic,,56,1249
New York,,54,0
El Salvador,,43,11078
Saint Martin,,43,175
California,,29,0
Texas,,27,0
Aruba,,17,0
Trinidad and Tobago,,16,0
Virgin Island,,14,68
Martinique,,12,17990
