Ranking,Port,Country,Region,Year,ContainerTraffic,Longitude,Latitude
1,Shanghai,China,East Asia & Pacific,2004,14557000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2005,18084000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2006,21710000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2007,26150000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2008,27980000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2009,25002000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2010,29069000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2011,31700000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2012,32529000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2013,33617000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2014,33620000,121.498,31.24
1,Shanghai,China,East Asia & Pacific,2015,35290000,121.498,31.24
2,Singapore,Singapore,East Asia & Pacific,2004,21329000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2005,23192000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2006,24792000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2007,27932000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2008,29918000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2009,25866000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2010,28431000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2011,29937000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2012,31649000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2013,32240000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2014,32240000,103.804,1.267
2,Singapore,Singapore,East Asia & Pacific,2015,33870000,103.804,1.267
3,Shenzhen,China,East Asia & Pacific,2004,13615000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2005,16197000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2006,18469000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2007,21099000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2008,21414000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2009,18250000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2010,22510000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2011,22570000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2012,22940000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2013,23280000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2014,23280000,113.947,22.504
3,Shenzhen,China,East Asia & Pacific,2015,24040000,113.947,22.504
4,Hong Kong,China,East Asia & Pacific,2004,21984000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2005,22427000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2006,23539000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2007,23881000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2008,24248000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2009,20983000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2010,23532000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2011,24384000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2012,23117000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2013,22352000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2014,22350000,114.065,22.515
4,Hong Kong,China,East Asia & Pacific,2015,22230000,114.065,22.515
5,Ningbo-Zhoushan,China,East Asia & Pacific,2004,4006000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2005,5208000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2006,7068000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2007,9349000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2008,11226000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2009,10502000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2010,13144000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2011,14686000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2012,16670000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2013,17351000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2014,17350000,122.207,29.985
5,Ningbo-Zhoushan,China,East Asia & Pacific,2015,18700000,122.207,29.985
6,Busan,South Korea,East Asia & Pacific,2004,11430000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2005,11843000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2006,12039000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2007,13270000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2008,13425000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2009,11954000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2010,14157000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2011,16185000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2012,17046000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2013,17690000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2014,17690000,129.042,35.104
6,Busan,South Korea,East Asia & Pacific,2015,18680000,129.042,35.104
